product_id,product_name,category,price,tier,complexity_score,popularity_score
100,Oxford Shirt - Yard Edition,Fashion,106,Standard,0.21,5.265106330671763
101,AA Batteries (4-Pack) - Baby Edition,Electronics,11,Budget,0.02,7.27241854745282
102,Vitamin C Serum - History Edition,Skincare,55,Standard,0.11,1.424915251072274
103,Silk Scarf,Fashion,513,Premium,1.03,0.5436033177673738
104,Facial Cleanser Foam,Skincare,10,Budget,0.02,1.521037022966426
105,Cashmere Trench Coat,Fashion,4991,Luxury,9.98,4.451057585103215
106,Screen Protector,Electronics,19,Budget,0.04,2.771670771818442
107,Espresso Machine - Truth Edition,Home & Living,528,Premium,1.06,1.0313409675255347
108,Facial Cleanser Foam,Skincare,26,Budget,0.05,2.311200327937396
109,Basic Wired Earphones - Cell Edition,Electronics,9,Budget,0.02,5.11279240072232
110,Cotton Pads - Ball Edition,Skincare,40,Budget,0.08,0.9192322859429913
111,Kitchen Towel Set - Value Edition,Home & Living,23,Budget,0.05,7.965874240550532
112,Sunscreen SPF 50,Skincare,65,Standard,0.13,3.9783859902130536
113,Smart Door Lock - Television Edition,Home & Living,513,Premium,1.03,1.675262651135312
114,Flip Flops,Fashion,35,Budget,0.07,7.212179196222771
115,Massage Chair Zero-G - System Edition,Home & Living,2363,Luxury,4.73,1.337145692974997
116,Clay Mask,Skincare,126,Standard,0.25,9.271389522666219
117,USB-C Cable 1m,Electronics,16,Budget,0.03,6.716206050861359
118,Monitor 24-inch IPS - Against Edition,Electronics,465,Premium,0.93,3.710161062109724
119,Succulent Pot Set,Home & Living,136,Standard,0.27,5.819993133775883
120,AA Batteries (4-Pack),Electronics,19,Budget,0.04,4.461412673806452
121,Succulent Pot Set - Enjoy Edition,Home & Living,129,Standard,0.26,6.91915598408243
122,Plastic Food Container - Life Edition,Home & Living,16,Budget,0.03,4.767781505093666
123,Merino Wool Sweater,Fashion,278,Premium,0.56,0.16858125827699522
124,Flip Flops,Fashion,32,Budget,0.06,4.325223968726782
125,Microfiber Cloth,Home & Living,8,Budget,0.02,0.1732171580934494
126,Hair Loss Tonic,Skincare,309,Premium,0.62,5.6397962151276095
127,8K OLED TV 65-inch,Electronics,2196,Luxury,4.39,3.439646338924444
128,Oxford Shirt - Lay Edition,Fashion,110,Standard,0.22,4.517064086465452
129,Toner Hydrating - Woman Edition,Skincare,55,Standard,0.11,8.930310196828808
130,Electric Face Cleanser - Listen Edition,Skincare,431,Premium,0.86,6.183946262181582
131,Sunscreen SPF 50 - Home Edition,Skincare,69,Standard,0.14,4.857832505709422
132,Silk Scarf - Can Edition,Fashion,512,Premium,1.02,2.7317363560679473
133,Fast Charger 30W,Electronics,150,Standard,0.3,3.714955582286289
134,Mechanical Keyboard RGB - Sometimes Edition,Electronics,737,Premium,1.47,6.473135578901569
135,Slim Fit Chinos,Fashion,136,Standard,0.27,5.273144014144683
136,Memory Foam Pillow - Attack Edition,Home & Living,98,Standard,0.2,0.8396493456887011
137,Sony Alpha A7 IV Camera - Painting Edition,Electronics,1766,Luxury,3.53,6.140895622540443
138,Smart Door Lock - Light Edition,Home & Living,632,Premium,1.26,9.548290129613068
139,Hand Cream Mini,Skincare,9,Budget,0.02,9.644500817942252
140,MacBook Pro M3 Max,Electronics,3066,Luxury,6.13,0.022720283033867972
141,Baseball Cap - Example Edition,Fashion,20,Budget,0.04,0.11500812117092529
142,Slim Fit Chinos - Though Edition,Fashion,117,Standard,0.23,2.3757895831011835
143,Daily Moisturizer - Forward Edition,Skincare,83,Standard,0.17,2.4562374695908806
144,Powerbank 10000mAh,Electronics,142,Standard,0.28,9.87261783453236
145,Basic Wired Earphones,Electronics,31,Budget,0.06,2.3867188675088857
146,Silk Scarf - Office Edition,Fashion,608,Premium,1.22,6.13580709501417
147,Ankle Socks (3-Pair),Fashion,5,Budget,0.01,8.29608060061568
148,Denim Jacket Classic - Work Edition,Fashion,87,Standard,0.17,1.85944821051777
149,USB-C Cable 1m,Electronics,37,Budget,0.07,5.776039717348152
150,Persian Rug Hand-Woven - Hot Edition,Home & Living,4218,Luxury,8.44,4.8570589434241676
151,Hand Cream Mini - Argue Edition,Skincare,18,Budget,0.04,1.3531516126462373
152,Kitchen Towel Set,Home & Living,30,Budget,0.06,3.262982826806642
153,Wireless Earbuds Basic - Leg Edition,Electronics,134,Standard,0.27,0.6246144614804172
154,Microfiber Cloth,Home & Living,6,Budget,0.01,7.466169864247228
155,AA Batteries (4-Pack),Electronics,15,Budget,0.03,8.36756905422692
156,Leather Chelsea Boots - Hundred Edition,Fashion,453,Premium,0.91,2.278294788242631
157,Lip Balm Moisturizing,Skincare,31,Budget,0.06,4.270285958861879
158,Sheet Mask Aloe,Skincare,39,Budget,0.08,9.870296730249024
159,Monitor 24-inch IPS,Electronics,789,Premium,1.58,3.180853446146342
160,Monitor 24-inch IPS - Public Edition,Electronics,587,Premium,1.17,1.7090299530398423
161,Phone Case Silicone,Electronics,32,Budget,0.06,5.383949432050596
162,Clay Mask - Start Edition,Skincare,73,Standard,0.15,9.987599306877842
163,Plastic Food Container - West Edition,Home & Living,12,Budget,0.02,5.3778999314648885
164,Home Theater System,Home & Living,3835,Luxury,7.67,8.097502092708439
165,Basic Wired Earphones - Discover Edition,Electronics,14,Budget,0.03,1.0451661509648436
166,Microfiber Cloth - Never Edition,Home & Living,10,Budget,0.02,7.546247423916372
167,Vitamin C Serum,Skincare,129,Standard,0.26,1.578050630062764
168,Hand Cream Mini - Network Edition,Skincare,8,Budget,0.02,6.089057031666281
169,AA Batteries (4-Pack) - South Edition,Electronics,34,Budget,0.07,5.0564028016809175
170,Cotton Pads,Skincare,15,Budget,0.03,5.017072462798984
171,Desk Organizer - Talk Edition,Home & Living,29,Budget,0.06,1.717749883336438
172,Sunscreen SPF 50 - Car Edition,Skincare,78,Standard,0.16,6.168833637365489
173,Oxford Shirt - Strong Edition,Fashion,61,Standard,0.12,3.268209440886193
174,Screen Protector - Speak Edition,Electronics,21,Budget,0.04,3.916173571732291
175,Cotton Pads - Left Edition,Skincare,16,Budget,0.03,4.286565665544554
176,Sheet Mask Aloe - Cold Edition,Skincare,34,Budget,0.07,4.500567824481295
177,Tablet Android 10-inch - Health Edition,Electronics,611,Premium,1.22,7.333294557573229
178,Sunscreen SPF 50 - Success Edition,Skincare,53,Standard,0.11,4.676226070506058
179,Essence Fermented - Movement Edition,Skincare,595,Premium,1.19,6.346734463197331
180,MacBook Pro M3 Max - Unit Edition,Electronics,2075,Luxury,4.15,9.831283575824898
181,Screen Protector,Electronics,16,Budget,0.03,2.8269869259812284
182,Ergonomic Office Chair,Home & Living,332,Premium,0.66,2.9232529118204766
183,Vitamin C Serum - As Edition,Skincare,119,Standard,0.24,4.284433068019275
184,Desk Lamp LED,Home & Living,71,Standard,0.14,9.13604768275135
185,Sheet Mask Aloe,Skincare,30,Budget,0.06,0.34800505713901364
186,USB-C Cable 1m - Place Edition,Electronics,7,Budget,0.01,8.017121619364165
187,Basic Wired Earphones,Electronics,40,Budget,0.08,4.786312211611046
188,Kitchen Towel Set - Hundred Edition,Home & Living,9,Budget,0.02,0.1702247275752633
189,Facial Cleanser Foam - Attorney Edition,Skincare,22,Budget,0.04,0.29633770726918307
190,Air Purifier HEPA,Home & Living,313,Premium,0.63,0.9329453922700504
191,Canvas Tote Bag,Fashion,23,Budget,0.05,5.884335293557042
192,Powerbank 10000mAh,Electronics,126,Standard,0.25,8.881427044245628
193,Basic Wired Earphones - Believe Edition,Electronics,6,Budget,0.01,6.121814306228991
194,Plastic Food Container,Home & Living,25,Budget,0.05,8.67183097297327
195,Powerbank 10000mAh,Electronics,113,Standard,0.23,2.384344193948571
196,Noise Cancelling Headphones - Easy Edition,Electronics,287,Premium,0.57,7.802166023623042
197,Sunscreen SPF 50 - Dream Edition,Skincare,112,Standard,0.22,1.0887494411650722
198,Bath Towel Premium,Home & Living,125,Standard,0.25,3.434098007410391
199,Daily Moisturizer,Skincare,97,Standard,0.19,7.658031658780027
